Category,Course Code,Course Name,Section,MeetingTimes,Dates,Instructor,Notes,Class Nbr,Specialization #1,Specialization #2,Specialization #3,Specialization #4,Specialization #5,Specialization #6,Specialization #7,Specialization #8,Days,Times,Credits
Management and Organizational Behavior,MGMT-GB.2162,Advanced Negotiation: Emotion & Nonverbal Communication in Conflict Resolution (1.5),10,W 6:00 pm - 9:00 pm,11/04-12/16,"Boyle,E",,21921,Leadership and Change Management,Management,,,,,,,W,6:00 pm - 9:00 pm,1.5
Management and Organizational Behavior,MGMT-GB.2327,Managing the Growing Company (3),10,M 6:00 pm - 9:00 pm,09/21-12/14,"Okun,G",,21686,Entrepreneurship and Innovation,Healthcare,Leadership and Change Management,Management,Strategy,,,,M,6:00 pm - 9:00 pm,3
Management and Organizational Behavior,MGMT-GB.2327,Managing the Growing Company (3),S1,Sa 1:00 pm - 4:00 pm,09/26-12/19,"Okun,G",Saturdays,21699,Entrepreneurship and Innovation,Healthcare,Leadership and Change Management,Management,Strategy,,,,Sa,1:00 pm - 4:00 pm,3
Management and Organizational Behavior,MGMT-GB.2353,Managing Change (3),01,MW 3:00 pm - 4:20 pm,09/02-12/09,"Lechner,A",,21687,Leadership and Change Management,Management,Strategy,,,,,,MW,3:00 pm - 4:20 pm,3
Management and Organizational Behavior,MGMT-GB.2353,Managing Change (3),S1,Sa 1:00 pm - 4:00 pm,09/26-12/19,"Lechner,A",Saturdays,22039,Leadership and Change Management,Management,Strategy,,,,,,Sa,1:00 pm - 4:00 pm,3
Management and Organizational Behavior,MGMT-GB.2363,Leadership Models (3),10,W 6:00 pm - 9:00 pm,09/23-12/16,"Kabaliswaran,R",,21689,Leadership and Change Management,Management,,,,,,,W,6:00 pm - 9:00 pm,3
Management and Organizational Behavior,MGMT-GB.2370,Strategic Design (3),S1,Sa 9:00 am - 12:00 pm,09/26-12/19,"Kabaliswaran,R",Saturdays,21690,Leadership and Change Management,Management,Strategy,,,,,,Sa,9:00 am - 12:00 pm,3
Management and Organizational Behavior,MGMT-GB.2375,Advanced Strategy: Tools (3),10,M 6:00 pm - 9:00 pm,09/21-12/14,"Marciano,S",,21691,Leadership and Change Management,Management,Strategy,,,,,,M,6:00 pm - 9:00 pm,3
Management and Organizational Behavior,MGMT-GB.3151,Managerial Decision Making (1.5),S1,Su 9:00 am - 4:00 pm,11/01-11/15,"Shapira,Z","Meets on 3 Sunday dates: November 1, 8, 15",22564,Leadership and Change Management,Management,,,,,,,Su,9:00 am - 4:00 pm,1.5
Management and Organizational Behavior,MGMT-GB.3155,Technology Innovation Strategy (1.5),01,T 1:30 pm - 4:20 pm,09/08-10/20,"Schilling,M",,22906,"Entertainment, Media & Technology",Entrepreneurship and Innovation,Management,Management of Technology & Operations,Product Management,Strategy,,,T,1:30 pm - 4:20 pm,1.5
Management and Organizational Behavior,MGMT-GB.3155,Technology Innovation Strategy (1.5),10,M 6:00 pm - 9:00 pm,09/21-11/02,"Schilling,M",,22010,"Entertainment, Media & Technology",Entrepreneurship and Innovation,Management,Management of Technology & Operations,Product Management,Strategy,,,M,6:00 pm - 9:00 pm,1.5
